t,x,y,vx,vy,speed,heading
0.0,484850.6055862978,4948438.734864426,-0.0,-0.0,0.0,187.0
5.0,484850.6055862978,4948438.734864426,-0.0,-0.0,0.0,187.0
8.0,484850.6055862978,4948438.734864426,-0.0,-0.0,0.0,187.0
11.0,484850.4439777006,4948437.402261195,-0.09944984129550036,-0.7076223896499175,0.7145766,188.0
14.0,484849.7235159264,4948434.2936594905,-0.32148951915890855,-1.3925240960720262,1.4291532,193.0
17.0,484848.9994037597,4948429.62992025,-0.4361822013733325,-3.552418953701001,3.579097,187.0
20.0,484843.5190379072,4948424.199772606,-5.141138628284973,-3.874125835484065,6.437403,233.0
23.0,484826.6389919319,4948423.4618511135,-12.879058158263378,-0.22480479636677747,12.88102,269.0
26.0,484801.1246061164,4948423.966196239,-19.324638,-3.5498784107071963e-15,19.324638,270.0
29.0,484767.6071993597,4948424.600602058,-25.049861203642692,0.4372469537524123,25.053677,271.0
32.0,484733.0604605381,4948425.570861667,-25.049861203642692,0.4372469537524123,25.053677,271.0
35.0,484698.8291133067,4948425.874067374,-25.053677,-4.6022858017382495e-15,25.053677,270.0
38.0,484667.1334626015,4948426.17143172,-22.903734,-4.20734767974336e-15,22.903734,270.0
41.0,484641.0633567999,4948426.233401866,-18.610062,-3.418612929035068e-15,18.610062,270.0
44.0,484626.4823216889,4948425.934862069,-10.014974438533994,-0.17481202907905016,10.0165,269.0
47.0,484623.4706555444,4948425.719870779,-0.7144677665226905,-0.012471081253772155,0.7145766,269.0
50.0,484612.785373646,4948430.85509679,-6.858160251298092,5.167994433619669,8.587347,307.0
53.0,484612.7508776232,4948449.628018802,1.9924561125074693,14.177061896114992,14.316388,8.0
56.0,484616.454952438,4948474.390454038,2.590020037599077,18.428950155900885,18.610062,8.0
59.0,484617.7489930762,4948485.38447855,0.7482350185917375,7.118980664293802,7.158194,6.0
62.0,484617.8308795513,4948486.495102437,0.0,0.0,0.0,6.0
65.0,484617.9212355776,4948491.16032696,0.18731546398125154,3.5741919719514907,3.579097,3.0
68.0,484604.96010536887,4948505.520788089,-11.681252969405117,9.45929214233603,15.030964,309.0
71.0,484572.16744111694,4948510.819922633,-24.95834019510311,2.183571827494913,25.053677,275.0
74.0,484526.2149751471,4948513.59586983,-34.3085188414733,1.7980332829719974,34.355602,273.0
77.0,484478.8346365517,4948515.709085659,-35.04881119695442,1.2239314567686428,35.070175,272.0
80.0,484441.1903233227,4948513.466982317,-27.093912655243326,-2.3704102078953597,27.197407,265.0
83.0,484418.1311279587,4948513.300434685,-16.42002098227059,1.1481997193357292,16.460117,274.0
86.0,484406.493403188,4948517.660729838,-7.192133546628578,3.2021441635288572,7.8727703,294.0
89.0,484391.404886513,4948536.803284761,-10.135766209249823,15.607711267039553,18.610062,327.0
92.0,484385.7896778588,4948574.029310865,-3.489457610986658,28.41935162960801,28.632776,353.0
95.0,484384.1587472349,4948620.465506327,-0.5995879295015519,34.350369475410304,34.355602,359.0
98.0,484384.1222661135,4948670.896798723,0.0,37.220123,37.220123,0.0
101.0,484383.8534524008,4948723.550296415,-0.6869939091362645,39.35785469498191,39.36385,359.0
104.0,484383.11594776943,4948778.981981689,-0.7245156056416636,41.507471248097225,41.513794,359.0
107.0,484382.61831564,4948835.301747468,-0.7245156056416636,41.507471248097225,41.513794,359.0
110.0,484382.3592063028,4948891.954187215,-0.7245156056416636,41.507471248097225,41.513794,359.0
113.0,484382.2588420129,4948948.717329987,-0.736986676423992,42.221938414711296,42.22837,359.0
116.0,484381.8447751518,4949006.814221056,-0.7494577646587267,42.93640658117307,42.942947,359.0
119.0,484381.5086082418,4949064.355518932,-0.7494577646587267,42.93640658117307,42.942947,359.0
122.0,484381.0091487924,4949119.897740684,-0.7120445697641481,40.79300608117854,40.79922,359.0
125.0,484380.1122010552,4949174.885519134,-1.4238722438546052,40.77436621753403,40.79922,358.0
128.0,484379.2955779999,4949230.317436373,-0.7120445697641481,40.79300608117854,40.79922,359.0
131.0,484378.9548895779,4949285.970370839,-0.7245156056416636,41.507471248097225,41.513794,359.0
134.0,484378.5347124758,4949341.512420587,-0.7120445697641481,40.79300608117854,40.79922,359.0
137.0,484378.1126639742,4949396.2769052535,-0.7120445697641481,40.79300608117854,40.79922,359.0
140.0,484377.6900882711,4949450.819231834,-0.6995734989818198,40.07853891456447,40.084644,359.0
143.0,484376.9500764638,4949505.140167436,-1.398933901098919,40.060225517926035,40.084644,358.0
146.0,484376.3671889463,4949558.905316923,-1.3737785532727367,39.339870606155635,39.36385,358.0
149.0,484375.8611199094,4949611.6705460455,-1.3488403152155406,38.62573290472012,38.649277,358.0
